霸王别姬,"张国荣,张丰毅,巩俐",1993-01-01
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10
罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-09-02
这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994-09-14
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
唐伯虎点秋香,"周星驰,巩俐,郑佩佩",1993-07-01
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02
大闹天宫,"邱岳峰,毕克,富润生",1965-12-31
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990-12-06
美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",1997-12-20
海上钢琴师,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",1998-10-28
黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000-01-14
哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26
指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004-03-15
